total reward, running mean
2.000000, 2.000000
0.000000, 1.980000
1.000000, 1.970200
0.000000, 1.950498
1.000000, 1.940993
1.000000, 1.931583
1.000000, 1.922267
2.000000, 1.923045
1.000000, 1.913814
2.000000, 1.914676
2.000000, 1.915529
0.000000, 1.896374
0.000000, 1.877410
1.000000, 1.868636
2.000000, 1.869950
1.000000, 1.861250
1.000000, 1.852638
3.000000, 1.864111
2.000000, 1.865470
2.000000, 1.866816
3.000000, 1.878147
2.000000, 1.879366
3.000000, 1.890572
3.000000, 1.901667
3.000000, 1.912650
1.000000, 1.903523
3.000000, 1.914488
3.000000, 1.925343
6.000000, 1.966090
3.000000, 1.976429
3.000000, 1.986665
4.000000, 2.006798
3.000000, 2.016730
3.000000, 2.026563
6.000000, 2.066297
7.000000, 2.115634
4.000000, 2.134478
4.000000, 2.153133
2.000000, 2.151602
6.000000, 2.190086
4.000000, 2.208185
6.000000, 2.246103
6.000000, 2.283642
4.000000, 2.300805
4.000000, 2.317797
7.000000, 2.364619
4.000000, 2.380973
6.000000, 2.417164
0.000000, 2.392992
9.000000, 2.459062
6.000000, 2.494471
4.000000, 2.509527
7.000000, 2.554431
10.000000, 2.628887
6.000000, 2.662598
6.000000, 2.695972
7.000000, 2.739012
6.000000, 2.771622
6.000000, 2.803906
10.000000, 2.875867
6.000000, 2.907108
3.000000, 2.908037
2.000000, 2.898957
11.000000, 2.979967
8.000000, 3.030168
6.000000, 3.059866
7.000000, 3.099267
10.000000, 3.168275
4.000000, 3.176592
6.000000, 3.204826
12.000000, 3.292778
14.000000, 3.399850
10.000000, 3.465851
6.000000, 3.491193
6.000000, 3.516281
5.000000, 3.531118
6.000000, 3.555807
10.000000, 3.620249
11.000000, 3.694047
14.000000, 3.797106
9.000000, 3.849135
2.000000, 3.830644
15.000000, 3.942337
2.000000, 3.922914
13.000000, 4.013685
12.000000, 4.093548
15.000000, 4.202612
0.000000, 4.160586
10.000000, 4.218980
10.000000, 4.276791
13.000000, 4.364023
16.000000, 4.480382
4.000000, 4.475579
6.000000, 4.490823
12.000000, 4.565915
23.000000, 4.750255
20.000000, 4.902753
15.000000, 5.003725
2.000000, 4.973688
4.000000, 4.963951
2.000000, 4.934312
2.000000, 4.904969
5.000000, 4.905919
8.000000, 4.936860
11.000000, 4.997491
11.000000, 5.057516
12.000000, 5.126941
4.000000, 5.115672
10.000000, 5.164515
4.000000, 5.152870
8.000000, 5.181341
14.000000, 5.269528
5.000000, 5.266832
6.000000, 5.274164
17.000000, 5.391422
18.000000, 5.517508
10.000000, 5.562333
2.000000, 5.526710
2.000000, 5.491443
15.000000, 5.586528
4.000000, 5.570663
8.000000, 5.594956
15.000000, 5.689007
19.000000, 5.822117
28.000000, 6.043896
6.000000, 6.043457
6.000000, 6.043022
4.000000, 6.022592
9.000000, 6.052366
8.000000, 6.071842
22.000000, 6.231124
11.000000, 6.278813
17.000000, 6.386024
32.000000, 6.642164
26.000000, 6.835743
2.000000, 6.787385
1.000000, 6.729511
17.000000, 6.832216
30.000000, 7.063894
26.000000, 7.253255
30.000000, 7.480723
31.000000, 7.715915
21.000000, 7.848756
35.000000, 8.120269
14.000000, 8.179066
35.000000, 8.447275
36.000000, 8.722802
29.000000, 8.925574
4.000000, 8.876319
22.000000, 9.007556
32.000000, 9.237480
15.000000, 9.295105
34.000000, 9.542154
8.000000, 9.526733
22.000000, 9.651465
37.000000, 9.924951
38.000000, 10.205701
33.000000, 10.433644
30.000000, 10.629308
22.000000, 10.743015
41.000000, 11.045584
15.000000, 11.085129
41.000000, 11.384277
3.000000, 11.300435
34.000000, 11.527430
40.000000, 11.812156
41.000000, 12.104034
15.000000, 12.132994
43.000000, 12.441664
42.000000, 12.737247
45.000000, 13.059875
43.000000, 13.359276
44.000000, 13.665683
16.000000, 13.689027
44.000000, 13.992136
44.000000, 14.292215
45.000000, 14.599293
1.000000, 14.463300
44.000000, 14.758667
43.000000, 15.041080
44.000000, 15.330669
7.000000, 15.247363
43.000000, 15.524889
46.000000, 15.829640
30.000000, 15.971344
46.000000, 16.271630
45.000000, 16.558914
45.000000, 16.843325
46.000000, 17.134892
40.000000, 17.363543
47.000000, 17.659907
23.000000, 17.713308
7.000000, 17.606175
47.000000, 17.900113
47.000000, 18.191112
47.000000, 18.479201
45.000000, 18.744409
47.000000, 19.026965
48.000000, 19.316695
46.000000, 19.583528
47.000000, 19.857693
47.000000, 20.129116
21.000000, 20.137825
48.000000, 20.416447
48.000000, 20.692282
46.000000, 20.945360
37.000000, 21.105906
48.000000, 21.374847
47.000000, 21.631098
48.000000, 21.894787
48.000000, 22.155840
35.000000, 22.284281
42.000000, 22.481438
49.000000, 22.746624
19.000000, 22.709158
25.000000, 22.732066
47.000000, 22.974745
24.000000, 22.984998
49.000000, 23.245148
48.000000, 23.492697
48.000000, 23.737770
48.000000, 23.980392
48.000000, 24.220588
48.000000, 24.458382
48.000000, 24.693798
48.000000, 24.926860
48.000000, 25.157592
47.000000, 25.376016
48.000000, 25.602256
48.000000, 25.826233
48.000000, 26.047971
48.000000, 26.267491
49.000000, 26.494816
48.000000, 26.709868
49.000000, 26.932769
49.000000, 27.153442
38.000000, 27.261907
49.000000, 27.479288
49.000000, 27.694495
49.000000, 27.907550
49.000000, 28.118475
48.000000, 28.317290
49.000000, 28.524117
5.000000, 28.288876
41.000000, 28.415987
49.000000, 28.621827
48.000000, 28.815609
48.000000, 29.007453
48.000000, 29.197378
49.000000, 29.395405
48.000000, 29.581451
49.000000, 29.775636
49.000000, 29.967880
49.000000, 30.158201
49.000000, 30.346619
49.000000, 30.533153
28.000000, 30.507821
48.000000, 30.682743
49.000000, 30.865916
49.000000, 31.047256
49.000000, 31.226784
49.000000, 31.404516
48.000000, 31.570471
48.000000, 31.734766
49.000000, 31.907418
49.000000, 32.078344
42.000000, 32.177561
48.000000, 32.335785
48.000000, 32.492427
48.000000, 32.647503
48.000000, 32.801028
34.000000, 32.813018
49.000000, 32.974888
49.000000, 33.135139
49.000000, 33.293787
49.000000, 33.450849
49.000000, 33.606341
49.000000, 33.760278
49.000000, 33.912675
49.000000, 34.063548
50.000000, 34.222913
49.000000, 34.370683
49.000000, 34.516977
48.000000, 34.651807
49.000000, 34.795289
49.000000, 34.937336
49.000000, 35.077963
49.000000, 35.217183
48.000000, 35.345011
49.000000, 35.481561
49.000000, 35.616745
49.000000, 35.750578
48.000000, 35.873072
2.000000, 35.534341
13.000000, 35.308998
48.000000, 35.435908
48.000000, 35.561549
48.000000, 35.685933
49.000000, 35.819074
48.000000, 35.940883
48.000000, 36.061475
49.000000, 36.190860
49.000000, 36.318951
49.000000, 36.445762
49.000000, 36.571304
34.000000, 36.545591
49.000000, 36.670135
49.000000, 36.793434
49.000000, 36.915499
48.000000, 37.026344
48.000000, 37.136081
48.000000, 37.244720
48.000000, 37.352273
48.000000, 37.458750
48.000000, 37.564163
45.000000, 37.638521
49.000000, 37.752136
49.000000, 37.864615
48.000000, 37.965968
40.000000, 37.986309
48.000000, 38.086446
47.000000, 38.175581
49.000000, 38.283825
49.000000, 38.390987
49.000000, 38.497077
49.000000, 38.602106
49.000000, 38.706085
49.000000, 38.809025
49.000000, 38.910934
49.000000, 39.011825
49.000000, 39.111707
49.000000, 39.210590
49.000000, 39.308484
49.000000, 39.405399
49.000000, 39.501345
49.000000, 39.596331
49.000000, 39.690368
49.000000, 39.783464
49.000000, 39.875630
49.000000, 39.966874
49.000000, 40.057205
49.000000, 40.146633
49.000000, 40.235166
49.000000, 40.322815
49.000000, 40.409587
49.000000, 40.495491
49.000000, 40.580536
49.000000, 40.664730
50.000000, 40.758083
49.000000, 40.840502
49.000000, 40.922097
49.000000, 41.002876
49.000000, 41.082848
49.000000, 41.162019
49.000000, 41.240399
49.000000, 41.317995
50.000000, 41.404815
49.000000, 41.480767
48.000000, 41.545959
49.000000, 41.620500
50.000000, 41.704295
50.000000, 41.787252
50.000000, 41.869379
50.000000, 41.950685
50.000000, 42.031178
47.000000, 42.080867
50.000000, 42.160058
35.000000, 42.088457
50.000000, 42.167573
50.000000, 42.245897
49.000000, 42.313438
50.000000, 42.390304
50.000000, 42.466401
18.000000, 42.221737
50.000000, 42.299519
50.000000, 42.376524
21.000000, 42.162759
50.000000, 42.241131
49.000000, 42.308720
49.000000, 42.375633
50.000000, 42.451876
50.000000, 42.527358
50.000000, 42.602084
5.000000, 42.226063
50.000000, 42.303803
50.000000, 42.380765
50.000000, 42.456957
50.000000, 42.532387
50.000000, 42.607064
50.000000, 42.680993
50.000000, 42.754183
50.000000, 42.826641
50.000000, 42.898375
50.000000, 42.969391
50.000000, 43.039697
50.000000, 43.109300
50.000000, 43.178207
50.000000, 43.246425
50.000000, 43.313961
0.000000, 42.880821
50.000000, 42.952013
50.000000, 43.022493
50.000000, 43.092268
50.000000, 43.161345
50.000000, 43.229732
42.000000, 43.217434
50.000000, 43.285260
50.000000, 43.352408
13.000000, 43.048883
37.000000, 42.988395
50.000000, 43.058511
50.000000, 43.127926
21.000000, 42.906646
50.000000, 42.977580
51.000000, 43.057804
50.000000, 43.127226
50.000000, 43.195954
50.000000, 43.263994
50.000000, 43.331354
51.000000, 43.408041
50.000000, 43.473960
50.000000, 43.539221
50.000000, 43.603829
50.000000, 43.667790
49.000000, 43.721112
50.000000, 43.783901
49.000000, 43.836062
50.000000, 43.897702
51.000000, 43.968725
50.000000, 44.029037
50.000000, 44.088747
50.000000, 44.147859
50.000000, 44.206381
50.000000, 44.264317
3.000000, 43.851674
51.000000, 43.923157
51.000000, 43.993926
51.000000, 44.063986
50.000000, 44.123346
50.000000, 44.182113
50.000000, 44.240292
51.000000, 44.307889
50.000000, 44.364810
51.000000, 44.431162
51.000000, 44.496850
50.000000, 44.551882
50.000000, 44.606363
51.000000, 44.670299
51.000000, 44.733596
50.000000, 44.786260
51.000000, 44.848398
50.000000, 44.899914
51.000000, 44.960915
50.000000, 45.011306
51.000000, 45.071192
50.000000, 45.120481
50.000000, 45.169276
51.000000, 45.227583
50.000000, 45.275307
50.000000, 45.322554
50.000000, 45.369329
50.000000, 45.415635
50.000000, 45.461479
50.000000, 45.506864
51.000000, 45.561795
50.000000, 45.606178
50.000000, 45.650116
50.000000, 45.693615
51.000000, 45.746678
50.000000, 45.789212
51.000000, 45.841320
50.000000, 45.882906
51.000000, 45.934077
49.000000, 45.964737
51.000000, 46.015089
51.000000, 46.064938
50.000000, 46.104289
51.000000, 46.153246
51.000000, 46.201714
50.000000, 46.239696
50.000000, 46.277299
50.000000, 46.314526
51.000000, 46.361381
50.000000, 46.397767
49.000000, 46.423790
50.000000, 46.459552
50.000000, 46.494956
50.000000, 46.530007
50.000000, 46.564707
49.000000, 46.589060
50.000000, 46.623169
48.000000, 46.636937
50.000000, 46.670568
50.000000, 46.703862
51.000000, 46.746824
50.000000, 46.779355
50.000000, 46.811562
50.000000, 46.843446
2.000000, 46.395012
51.000000, 46.441062
50.000000, 46.476651
50.000000, 46.511885
50.000000, 46.546766
50.000000, 46.581298
50.000000, 46.615485
50.000000, 46.649330
50.000000, 46.682837
50.000000, 46.716009
50.000000, 46.748848
50.000000, 46.781360
50.000000, 46.813546
50.000000, 46.845411
50.000000, 46.876957
50.000000, 46.908187
50.000000, 46.939105
51.000000, 46.979714
50.000000, 47.009917
22.000000, 46.759818
50.000000, 46.792220
50.000000, 46.824298
50.000000, 46.856055
50.000000, 46.887494
50.000000, 46.918619
50.000000, 46.949433
50.000000, 46.979939
51.000000, 47.020139
51.000000, 47.059938
50.000000, 47.089338
51.000000, 47.128445
50.000000, 47.157161
51.000000, 47.195589
51.000000, 47.233633
51.000000, 47.271297
51.000000, 47.308584
49.000000, 47.325498
51.000000, 47.362243
51.000000, 47.398621
51.000000, 47.434634
50.000000, 47.460288
51.000000, 47.495685
51.000000, 47.530728
51.000000, 47.565421
51.000000, 47.599767
50.000000, 47.623769
51.000000, 47.657531
51.000000, 47.690956
51.000000, 47.724047
51.000000, 47.756806
50.000000, 47.779238
51.000000, 47.811446
51.000000, 47.843331
51.000000, 47.874898
51.000000, 47.906149
51.000000, 47.937087
51.000000, 47.967717
51.000000, 47.998039
50.000000, 48.018059
50.000000, 48.037878
51.000000, 48.067500
50.000000, 48.086825
51.000000, 48.115956
50.000000, 48.134797
51.000000, 48.163449
51.000000, 48.191814
38.000000, 48.089896
50.000000, 48.108997
50.000000, 48.127907
50.000000, 48.146628
50.000000, 48.165162
50.000000, 48.183510
50.000000, 48.201675
49.000000, 48.209658
51.000000, 48.237562
51.000000, 48.265186
51.000000, 48.292534
51.000000, 48.319609
51.000000, 48.346413
51.000000, 48.372949
50.000000, 48.389219
51.000000, 48.415327
50.000000, 48.431174
50.000000, 48.446862
50.000000, 48.462393
51.000000, 48.487770
50.000000, 48.502892
50.000000, 48.517863
51.000000, 48.542684
50.000000, 48.557257
50.000000, 48.571685
50.000000, 48.585968
49.000000, 48.590108
50.000000, 48.604207
50.000000, 48.618165
32.000000, 48.451984
50.000000, 48.467464
50.000000, 48.482789
50.000000, 48.497961
51.000000, 48.522982
50.000000, 48.537752
50.000000, 48.552374
50.000000, 48.566851
50.000000, 48.581182
50.000000, 48.595370
50.000000, 48.609416
50.000000, 48.623322
50.000000, 48.637089
50.000000, 48.650718
51.000000, 48.674211
50.000000, 48.687469
50.000000, 48.700594
50.000000, 48.713588
51.000000, 48.736452
50.000000, 48.749088
51.000000, 48.771597
50.000000, 48.783881
51.000000, 48.806042
50.000000, 48.817982
50.000000, 48.829802
50.000000, 48.841504
51.000000, 48.863089
50.000000, 48.874458
50.000000, 48.885713
50.000000, 48.896856
51.000000, 48.917888
51.000000, 48.938709
51.000000, 48.959322
51.000000, 48.979729
50.000000, 48.989931
51.000000, 49.010032
51.000000, 49.029932
50.000000, 49.039632
50.000000, 49.049236
50.000000, 49.058744
50.000000, 49.068156
51.000000, 49.087475
51.000000, 49.106600
51.000000, 49.125534
50.000000, 49.134279
51.000000, 49.152936
51.000000, 49.171406
50.000000, 49.179692
51.000000, 49.197895
51.000000, 49.215916
50.000000, 49.223757
51.000000, 49.241520
51.000000, 49.259105
51.000000, 49.276513
51.000000, 49.293748
52.000000, 49.320811
51.000000, 49.337603
51.000000, 49.354227
52.000000, 49.380684
52.000000, 49.406878
52.000000, 49.432809
52.000000, 49.458481
52.000000, 49.483896
52.000000, 49.509057
52.000000, 49.533966
51.000000, 49.548627
52.000000, 49.573140
52.000000, 49.597409
52.000000, 49.621435
52.000000, 49.645221
51.000000, 49.658768
51.000000, 49.672181
51.000000, 49.685459
52.000000, 49.708604
51.000000, 49.721518
51.000000, 49.734303
52.000000, 49.756960
51.000000, 49.769391
51.000000, 49.781697
51.000000, 49.793880
51.000000, 49.805941
51.000000, 49.817881
52.000000, 49.839703
52.000000, 49.861306
52.000000, 49.882693
51.000000, 49.893866
52.000000, 49.914927
52.000000, 49.935778
52.000000, 49.956420
52.000000, 49.976856
52.000000, 49.997087
52.000000, 50.017116
52.000000, 50.036945
51.000000, 50.046576
51.000000, 50.056110
52.000000, 50.075549
51.000000, 50.084793
51.000000, 50.093945
52.000000, 50.113006
51.000000, 50.121876
52.000000, 50.140657
52.000000, 50.159251
52.000000, 50.177658
52.000000, 50.195881
52.000000, 50.213923
52.000000, 50.231783
52.000000, 50.249466
52.000000, 50.266971
52.000000, 50.284301
52.000000, 50.301458
51.000000, 50.308444
52.000000, 50.325359
52.000000, 50.342106
51.000000, 50.348685
8.000000, 49.925198
52.000000, 49.945946
52.000000, 49.966486
51.000000, 49.976821
24.000000, 49.717053
52.000000, 49.739883
52.000000, 49.762484
51.000000, 49.774859
51.000000, 49.787110
51.000000, 49.799239
51.000000, 49.811247
51.000000, 49.823134
51.000000, 49.834903
52.000000, 49.856554
52.000000, 49.877989
51.000000, 49.889209
51.000000, 49.900317
51.000000, 49.911313
51.000000, 49.922200
51.000000, 49.932978
51.000000, 49.943648
51.000000, 49.954212
50.000000, 49.954670
51.000000, 49.965123
51.000000, 49.975472
50.000000, 49.975717
51.000000, 49.985960
51.000000, 49.996100
52.000000, 50.016139
52.000000, 50.035978
52.000000, 50.055618
52.000000, 50.075062
52.000000, 50.094311
52.000000, 50.113368
51.000000, 50.122235
52.000000, 50.141012
52.000000, 50.159602
52.000000, 50.178006
52.000000, 50.196226
52.000000, 50.214264
52.000000, 50.232121
52.000000, 50.249800
52.000000, 50.267302
52.000000, 50.284629
52.000000, 50.301783
52.000000, 50.318765
52.000000, 50.335577
52.000000, 50.352221
52.000000, 50.368699
51.000000, 50.375012
51.000000, 50.381262
51.000000, 50.387449
51.000000, 50.393575
51.000000, 50.399639
52.000000, 50.415643
52.000000, 50.431486
52.000000, 50.447172
52.000000, 50.462700
51.000000, 50.468073
52.000000, 50.483392
51.000000, 50.488558
52.000000, 50.503673
52.000000, 50.518636
52.000000, 50.533450
52.000000, 50.548115
52.000000, 50.562634
52.000000, 50.577008
51.000000, 50.581237
52.000000, 50.595425
52.000000, 50.609471
51.000000, 50.613376
52.000000, 50.627242
52.000000, 50.640970
52.000000, 50.654560
52.000000, 50.668015
52.000000, 50.681334
51.000000, 50.684521
52.000000, 50.697676
52.000000, 50.710699
51.000000, 50.713592
52.000000, 50.726456
51.000000, 50.729192
52.000000, 50.741900
51.000000, 50.744481
51.000000, 50.747036
51.000000, 50.749566
51.000000, 50.752070
51.000000, 50.754549
51.000000, 50.757004
51.000000, 50.759434
51.000000, 50.761839
52.000000, 50.774221
52.000000, 50.786479
51.000000, 50.788614
52.000000, 50.800728
52.000000, 50.812721
51.000000, 50.814593
52.000000, 50.826447
52.000000, 50.838183
52.000000, 50.849801
52.000000, 50.861303
52.000000, 50.872690
52.000000, 50.883963
51.000000, 50.885124
52.000000, 50.896272
52.000000, 50.907310
52.000000, 50.918237
52.000000, 50.929054
52.000000, 50.939764
52.000000, 50.950366
52.000000, 50.960862
52.000000, 50.971254
52.000000, 50.981541
52.000000, 50.991726
51.000000, 50.991808
52.000000, 51.001890
52.000000, 51.011871
52.000000, 51.021753
51.000000, 51.021535
52.000000, 51.031320
51.000000, 51.031007
51.000000, 51.030697
51.000000, 51.030390
51.000000, 51.030086
51.000000, 51.029785
51.000000, 51.029487
48.000000, 50.999192
48.000000, 50.969200
48.000000, 50.939508
48.000000, 50.910113
48.000000, 50.881012
49.000000, 50.862202
49.000000, 50.843580
51.000000, 50.845144
51.000000, 50.846693
51.000000, 50.848226
51.000000, 50.849743
51.000000, 50.851246
51.000000, 50.852734
51.000000, 50.854206
50.000000, 50.845664
51.000000, 50.847208
52.000000, 50.858735
51.000000, 50.860148
50.000000, 50.851547
51.000000, 50.853031
51.000000, 50.854501
52.000000, 50.865956
52.000000, 50.877296
52.000000, 50.888523
52.000000, 50.899638
51.000000, 50.900642
51.000000, 50.901635
52.000000, 50.912619
52.000000, 50.923493
51.000000, 50.924258
52.000000, 50.935015
51.000000, 50.935665
52.000000, 50.946308
52.000000, 50.956845
52.000000, 50.967277
52.000000, 50.977604
52.000000, 50.987828
52.000000, 50.997950
52.000000, 51.007970
52.000000, 51.017891
52.000000, 51.027712
52.000000, 51.037435
52.000000, 51.047060
