total reward, running mean
0.000000, 0.000000
1.000000, 0.010000
1.000000, 0.019900
0.000000, 0.019701
0.000000, 0.019504
1.000000, 0.029309
0.000000, 0.029016
1.000000, 0.038726
0.000000, 0.038338
0.000000, 0.037955
2.000000, 0.057576
1.000000, 0.067000
0.000000, 0.066330
2.000000, 0.085666
2.000000, 0.104810
0.000000, 0.103762
2.000000, 0.122724
2.000000, 0.141497
2.000000, 0.160082
1.000000, 0.168481
1.000000, 0.176796
3.000000, 0.205028
2.000000, 0.222978
1.000000, 0.230748
1.000000, 0.238441
2.000000, 0.256056
1.000000, 0.263496
3.000000, 0.290861
3.000000, 0.317952
2.000000, 0.334773
2.000000, 0.351425
3.000000, 0.377911
3.000000, 0.404132
4.000000, 0.440090
1.000000, 0.445689
6.000000, 0.501232
3.000000, 0.526220
3.000000, 0.550958
3.000000, 0.575448
3.000000, 0.599694
3.000000, 0.623697
3.000000, 0.647460
5.000000, 0.690985
2.000000, 0.704076
6.000000, 0.757035
3.000000, 0.779464
5.000000, 0.821670
3.000000, 0.843453
3.000000, 0.865019
6.000000, 0.916368
7.000000, 0.977205
7.000000, 1.037433
3.000000, 1.057058
8.000000, 1.126488
6.000000, 1.175223
1.000000, 1.173471
11.000000, 1.271736
2.000000, 1.279019
6.000000, 1.326228
6.000000, 1.372966
4.000000, 1.399236
6.000000, 1.445244
4.000000, 1.470792
6.000000, 1.516084
12.000000, 1.620923
6.000000, 1.664714
7.000000, 1.718067
6.000000, 1.760886
7.000000, 1.813277
6.000000, 1.855144
11.000000, 1.946593
11.000000, 2.037127
11.000000, 2.126756
10.000000, 2.205488
10.000000, 2.283433
6.000000, 2.320599
6.000000, 2.357393
4.000000, 2.373819
7.000000, 2.420081
4.000000, 2.435880
12.000000, 2.531521
7.000000, 2.576206
6.000000, 2.610444
6.000000, 2.644339
5.000000, 2.667896
10.000000, 2.741217
10.000000, 2.813805
2.000000, 2.805667
14.000000, 2.917610
9.000000, 2.978434
11.000000, 3.058650
6.000000, 3.088063
3.000000, 3.087183
8.000000, 3.136311
10.000000, 3.204948
12.000000, 3.292898
8.000000, 3.339969
4.000000, 3.346569
16.000000, 3.473104
19.000000, 3.628373
16.000000, 3.752089
18.000000, 3.894568
12.000000, 3.975622
