total reward, running mean
1.000000, 1.000000
1.000000, 1.000000
1.000000, 1.000000
1.000000, 1.000000
1.000000, 1.000000
1.000000, 1.000000
0.000000, 0.990000
0.000000, 0.980100
1.000000, 0.980299
2.000000, 0.990496
2.000000, 1.000591
2.000000, 1.010585
2.000000, 1.020479
0.000000, 1.010274
0.000000, 1.000172
1.000000, 1.000170
1.000000, 1.000168
0.000000, 0.990167
2.000000, 1.000265
2.000000, 1.010262
3.000000, 1.030160
3.000000, 1.049858
2.000000, 1.059360
0.000000, 1.048766
1.000000, 1.048278
2.000000, 1.057795
0.000000, 1.047218
0.000000, 1.036745
2.000000, 1.046378
2.000000, 1.055914
2.000000, 1.065355
2.000000, 1.074701
4.000000, 1.103954
3.000000, 1.122915
3.000000, 1.141686
2.000000, 1.150269
2.000000, 1.158766
3.000000, 1.177179
2.000000, 1.185407
3.000000, 1.203553
3.000000, 1.221517
3.000000, 1.239302
2.000000, 1.246909
3.000000, 1.264440
2.000000, 1.271795
2.000000, 1.279078
6.000000, 1.326287
5.000000, 1.363024
2.000000, 1.369394
3.000000, 1.385700
5.000000, 1.421843
4.000000, 1.447624
2.000000, 1.453148
3.000000, 1.468617
3.000000, 1.483930
7.000000, 1.539091
2.000000, 1.543700
6.000000, 1.588263
6.000000, 1.632381
6.000000, 1.676057
7.000000, 1.729296
0.000000, 1.712003
6.000000, 1.754883
2.000000, 1.757334
2.000000, 1.759761
6.000000, 1.802163
3.000000, 1.814142
2.000000, 1.816000
6.000000, 1.857840
7.000000, 1.909262
9.000000, 1.980169
3.000000, 1.990368
4.000000, 2.010464
6.000000, 2.050359
3.000000, 2.059856
2.000000, 2.059257
4.000000, 2.078665
2.000000, 2.077878
6.000000, 2.117099
8.000000, 2.175928
9.000000, 2.244169
3.000000, 2.251727
2.000000, 2.249210
10.000000, 2.326718
6.000000, 2.363451
4.000000, 2.379816
2.000000, 2.376018
3.000000, 2.382258
6.000000, 2.418435
6.000000, 2.454251
6.000000, 2.489708
6.000000, 2.524811
6.000000, 2.559563
15.000000, 2.683968
11.000000, 2.767128
2.000000, 2.759457
4.000000, 2.771862
2.000000, 2.764143
5.000000, 2.786502
7.000000, 2.828637
8.000000, 2.880351
6.000000, 2.911547
4.000000, 2.922432
7.000000, 2.963207
6.000000, 2.993575
6.000000, 3.023639
3.000000, 3.023403
12.000000, 3.113169
2.000000, 3.102037
10.000000, 3.171017
12.000000, 3.259307
11.000000, 3.336714
14.000000, 3.443347
15.000000, 3.558913
6.000000, 3.583324
7.000000, 3.617491
10.000000, 3.681316
8.000000, 3.724503
6.000000, 3.747258
6.000000, 3.769785
22.000000, 3.952087
11.000000, 4.022566
10.000000, 4.082341
19.000000, 4.231517
14.000000, 4.329202
18.000000, 4.465910
16.000000, 4.581251
10.000000, 4.635438
12.000000, 4.709084
3.000000, 4.691993
20.000000, 4.845073
24.000000, 5.036623
20.000000, 5.186256
21.000000, 5.344394
25.000000, 5.540950
15.000000, 5.635540
23.000000, 5.809185
17.000000, 5.921093
13.000000, 5.991882
22.000000, 6.151963
9.000000, 6.180444
25.000000, 6.368639
23.000000, 6.534953
5.000000, 6.519603
13.000000, 6.584407
1.000000, 6.528563
31.000000, 6.773278
11.000000, 6.815545
34.000000, 7.087389
37.000000, 7.386516
37.000000, 7.682650
36.000000, 7.965824
30.000000, 8.186166
4.000000, 8.144304
28.000000, 8.342861
13.000000, 8.389432
28.000000, 8.585538
36.000000, 8.859683
38.000000, 9.151086
34.000000, 9.399575
36.000000, 9.665579
39.000000, 9.958923
40.000000, 10.259334
40.000000, 10.556741
40.000000, 10.851173
39.000000, 11.132662
39.000000, 11.411335
40.000000, 11.697222
39.000000, 11.970249
2.000000, 11.870547
41.000000, 12.161842
44.000000, 12.480223
43.000000, 12.785421
44.000000, 13.097567
23.000000, 13.196591
43.000000, 13.494625
41.000000, 13.769679
45.000000, 14.081982
36.000000, 14.301162
27.000000, 14.428151
40.000000, 14.683869
42.000000, 14.957030
45.000000, 15.257460
44.000000, 15.544885
13.000000, 15.519437
33.000000, 15.694242
1.000000, 15.547300
21.000000, 15.601827
18.000000, 15.625809
44.000000, 15.909550
45.000000, 16.200455
46.000000, 16.498450
44.000000, 16.773466
47.000000, 17.075731
45.000000, 17.354974
37.000000, 17.551424
6.000000, 17.435910
48.000000, 17.741551
45.000000, 18.014135
46.000000, 18.293994
47.000000, 18.581054
47.000000, 18.865244
28.000000, 18.956591
47.000000, 19.237025
43.000000, 19.474655
47.000000, 19.749908
26.000000, 19.812409
48.000000, 20.094285
47.000000, 20.363342
46.000000, 20.619709
8.000000, 20.493512
47.000000, 20.758577
47.000000, 21.020991
47.000000, 21.280781
47.000000, 21.537973
48.000000, 21.802594
47.000000, 22.054568
48.000000, 22.314022
47.000000, 22.560882
48.000000, 22.815273
47.000000, 23.057120
48.000000, 23.306549
48.000000, 23.553483
48.000000, 23.797949
48.000000, 24.039969
49.000000, 24.289569
48.000000, 24.526674
48.000000, 24.761407
49.000000, 25.003793
48.000000, 25.233755
48.000000, 25.461417
48.000000, 25.686803
0.000000, 25.429935
48.000000, 25.655636
3.000000, 25.429080
48.000000, 25.654789
49.000000, 25.888241
48.000000, 26.109358
49.000000, 26.338265
49.000000, 26.564882
49.000000, 26.789233
48.000000, 27.001341
48.000000, 27.211328
6.000000, 26.999214
48.000000, 27.209222
49.000000, 27.427130
49.000000, 27.642859
48.000000, 27.846430
48.000000, 28.047966
49.000000, 28.257486
49.000000, 28.464911
49.000000, 28.670262
48.000000, 28.863560
48.000000, 29.054924
49.000000, 29.254375
49.000000, 29.451831
49.000000, 29.647313
24.000000, 29.590840
49.000000, 29.784931
49.000000, 29.977082
44.000000, 30.117311
49.000000, 30.306138
49.000000, 30.493077
49.000000, 30.678146
48.000000, 30.851364
49.000000, 31.032851
49.000000, 31.212522
49.000000, 31.390397
49.000000, 31.566493
49.000000, 31.740828
48.000000, 31.903420
49.000000, 32.074386
1.000000, 31.763642
49.000000, 31.936005
49.000000, 32.106645
49.000000, 32.275579
49.000000, 32.442823
49.000000, 32.608395
49.000000, 32.772311
49.000000, 32.934588
49.000000, 33.095242
49.000000, 33.254289
35.000000, 33.271747
49.000000, 33.429029
50.000000, 33.594739
49.000000, 33.748791
49.000000, 33.901303
49.000000, 34.052290
40.000000, 34.111768
49.000000, 34.260650
49.000000, 34.408043
49.000000, 34.553963
29.000000, 34.498423
49.000000, 34.643439
49.000000, 34.787005
49.000000, 34.929135
49.000000, 35.069843
23.000000, 34.949145
49.000000, 35.089653
49.000000, 35.228757
49.000000, 35.366469
49.000000, 35.502805
49.000000, 35.637777
49.000000, 35.771399
49.000000, 35.903685
49.000000, 36.034648
49.000000, 36.164301
49.000000, 36.292658
49.000000, 36.419732
50.000000, 36.555535
22.000000, 36.409979
26.000000, 36.305879
49.000000, 36.432821
49.000000, 36.558492
50.000000, 36.692907
49.000000, 36.815978
50.000000, 36.947819
49.000000, 37.068340
20.000000, 36.897657
4.000000, 36.568680
50.000000, 36.702994
50.000000, 36.835964
49.000000, 36.957604
49.000000, 37.078028
49.000000, 37.197248
11.000000, 36.935275
49.000000, 37.055923
49.000000, 37.175363
35.000000, 37.153610
49.000000, 37.272074
49.000000, 37.389353
49.000000, 37.505459
49.000000, 37.620405
49.000000, 37.734201
49.000000, 37.846859
49.000000, 37.958390
49.000000, 38.068806
13.000000, 37.818118
49.000000, 37.929937
49.000000, 38.040638
1.000000, 37.670231
49.000000, 37.783529
29.000000, 37.695694
50.000000, 37.818737
50.000000, 37.940549
50.000000, 38.061144
50.000000, 38.180532
50.000000, 38.298727
50.000000, 38.415740
50.000000, 38.531582
51.000000, 38.656267
51.000000, 38.779704
51.000000, 38.901907
51.000000, 39.022888
18.000000, 38.812659
51.000000, 38.934532
51.000000, 39.055187
50.000000, 39.164635
50.000000, 39.272989
49.000000, 39.370259
44.000000, 39.416556
50.000000, 39.522391
50.000000, 39.627167
49.000000, 39.720895
25.000000, 39.573686
51.000000, 39.687949
50.000000, 39.791070
51.000000, 39.903159
50.000000, 40.004128
50.000000, 40.104086
36.000000, 40.063045
51.000000, 40.172415
51.000000, 40.280691
51.000000, 40.387884
51.000000, 40.494005
50.000000, 40.589065
51.000000, 40.693174
51.000000, 40.796243
51.000000, 40.898280
51.000000, 40.999297
51.000000, 41.099304
51.000000, 41.198311
51.000000, 41.296328
36.000000, 41.243365
51.000000, 41.340931
51.000000, 41.437522
51.000000, 41.533147
50.000000, 41.617815
51.000000, 41.711637
51.000000, 41.804521
51.000000, 41.896476
51.000000, 41.987511
51.000000, 42.077636
51.000000, 42.166859
51.000000, 42.255191
51.000000, 42.342639
51.000000, 42.429212
51.000000, 42.514920
51.000000, 42.599771
51.000000, 42.683773
51.000000, 42.766936
51.000000, 42.849266
50.000000, 42.920774
50.000000, 42.991566
50.000000, 43.061650
50.000000, 43.131034
51.000000, 43.209723
52.000000, 43.297626
14.000000, 43.004650
52.000000, 43.094603
52.000000, 43.183657
5.000000, 42.801821
51.000000, 42.883803
51.000000, 42.964965
50.000000, 43.035315
51.000000, 43.114962
4.000000, 42.723812
51.000000, 42.806574
51.000000, 42.888508
