total reward, running mean
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
1.000000, 0.010000
1.000000, 0.019900
0.000000, 0.019701
1.000000, 0.029504
1.000000, 0.039209
1.000000, 0.048817
1.000000, 0.058329
1.000000, 0.067745
1.000000, 0.077068
1.000000, 0.086297
1.000000, 0.095434
2.000000, 0.114480
0.000000, 0.113335
0.000000, 0.112202
2.000000, 0.131080
0.000000, 0.129769
2.000000, 0.148471
0.000000, 0.146987
2.000000, 0.165517
2.000000, 0.183862
2.000000, 0.202023
2.000000, 0.220003
2.000000, 0.237803
3.000000, 0.265425
1.000000, 0.272770
3.000000, 0.300043
3.000000, 0.327042
3.000000, 0.353772
3.000000, 0.380234
3.000000, 0.406432
3.000000, 0.432367
2.000000, 0.448044
2.000000, 0.463563
3.000000, 0.488928
2.000000, 0.504038
2.000000, 0.518998
3.000000, 0.543808
3.000000, 0.568370
2.000000, 0.582686
2.000000, 0.596859
2.000000, 0.610891
2.000000, 0.624782
2.000000, 0.638534
2.000000, 0.652149
2.000000, 0.665627
2.000000, 0.678971
7.000000, 0.742181
3.000000, 0.764759
0.000000, 0.757112
3.000000, 0.779541
3.000000, 0.801745
3.000000, 0.823728
0.000000, 0.815491
8.000000, 0.887336
9.000000, 0.968462
1.000000, 0.968778
16.000000, 1.119090
10.000000, 1.207899
5.000000, 1.245820
10.000000, 1.333362
1.000000, 1.330028
1.000000, 1.326728
1.000000, 1.323461
1.000000, 1.320226
1.000000, 1.317024
1.000000, 1.313854
1.000000, 1.310715
29.000000, 1.587608
19.000000, 1.761732
29.000000, 2.034115
19.000000, 2.203773
29.000000, 2.471736
23.000000, 2.677018
29.000000, 2.940248
4.000000, 2.950846
8.000000, 3.001337
8.000000, 3.051324
11.000000, 3.130811
15.000000, 3.249502
8.000000, 3.297007
7.000000, 3.334037
38.000000, 3.680697
15.000000, 3.793890
39.000000, 4.145951
42.000000, 4.524492
42.000000, 4.899247
22.000000, 5.070254
15.000000, 5.169552
46.000000, 5.577856
45.000000, 5.972078
14.000000, 6.052357
18.000000, 6.171833
43.000000, 6.540115
41.000000, 6.884714
46.000000, 7.275867
32.000000, 7.523108
23.000000, 7.677877
7.000000, 7.671098
7.000000, 7.664387
23.000000, 7.817743
31.000000, 8.049566
35.000000, 8.319070
6.000000, 8.295879
6.000000, 8.272921
48.000000, 8.670191
14.000000, 8.723490
38.000000, 9.016255
48.000000, 9.406092
22.000000, 9.532031
49.000000, 9.926711
49.000000, 10.317444
49.000000, 10.704269
49.000000, 11.087227
49.000000, 11.466354
49.000000, 11.841691
48.000000, 12.203274
48.000000, 12.561241
48.000000, 12.915629
35.000000, 13.136472
48.000000, 13.485108
49.000000, 13.840257
49.000000, 14.191854
49.000000, 14.539936
50.000000, 14.894536
50.000000, 15.245591
50.000000, 15.593135
50.000000, 15.937204
50.000000, 16.277832
50.000000, 16.615053
49.000000, 16.938903
49.000000, 17.259514
49.000000, 17.576919
49.000000, 17.891149
30.000000, 18.012238
22.000000, 18.052115
10.000000, 17.971594
49.000000, 18.281878
51.000000, 18.609060
51.000000, 18.932969
50.000000, 19.243639
51.000000, 19.561203
50.000000, 19.865591
50.000000, 20.166935
51.000000, 20.475266
51.000000, 20.780513
51.000000, 21.082708
51.000000, 21.381881
49.000000, 21.658062
51.000000, 21.951481
51.000000, 22.241967
51.000000, 22.529547
49.000000, 22.794251
51.000000, 23.076309
51.000000, 23.355546
51.000000, 23.631990
51.000000, 23.905670
51.000000, 24.176614
51.000000, 24.444848
50.000000, 24.700399
50.000000, 24.953395
50.000000, 25.203861
50.000000, 25.451823
49.000000, 25.687304
49.000000, 25.920431
50.000000, 26.161227
14.000000, 26.039615
16.000000, 25.939219
14.000000, 25.819826
6.000000, 25.621628
6.000000, 25.425412
10.000000, 25.271158
6.000000, 25.078446
50.000000, 25.327662
49.000000, 25.564385
49.000000, 25.798741
48.000000, 26.020754
46.000000, 26.220546
42.000000, 26.378341
46.000000, 26.574557
37.000000, 26.678812
52.000000, 26.932024
52.000000, 27.182703
52.000000, 27.430876
52.000000, 27.676568
52.000000, 27.919802
52.000000, 28.160604
52.000000, 28.398998
52.000000, 28.635008
52.000000, 28.868658
51.000000, 29.089971
52.000000, 29.319072
52.000000, 29.545881
52.000000, 29.770422
52.000000, 29.992718
52.000000, 30.212791
52.000000, 30.430663
52.000000, 30.646356
52.000000, 30.859893
52.000000, 31.071294
52.000000, 31.280581
52.000000, 31.487775
52.000000, 31.692897
52.000000, 31.895968
52.000000, 32.097008
52.000000, 32.296038
52.000000, 32.493078
52.000000, 32.688147
51.000000, 32.871266
51.000000, 33.052553
49.000000, 33.212028
51.000000, 33.389907
49.000000, 33.546008
49.000000, 33.700548
45.000000, 33.813543
52.000000, 33.995407
51.000000, 34.165453
52.000000, 34.343799
52.000000, 34.520361
52.000000, 34.695157
52.000000, 34.868205
52.000000, 35.039523
52.000000, 35.209128
52.000000, 35.377037
52.000000, 35.543267
52.000000, 35.707834
52.000000, 35.870756
52.000000, 36.032048
52.000000, 36.191727
50.000000, 36.329810
50.000000, 36.466512
50.000000, 36.601847
50.000000, 36.735829
49.000000, 36.858470
50.000000, 36.989886
50.000000, 37.119987
2.000000, 36.768787
18.000000, 36.581099
46.000000, 36.675288
6.000000, 36.368535
6.000000, 36.064850
18.000000, 35.884201
48.000000, 36.005359
52.000000, 36.165306
51.000000, 36.313653
51.000000, 36.460516
51.000000, 36.605911
51.000000, 36.749852
51.000000, 36.892353
51.000000, 37.033430
52.000000, 37.183095
52.000000, 37.331264
52.000000, 37.477952
52.000000, 37.623172
52.000000, 37.766941
52.000000, 37.909271
52.000000, 38.050178
52.000000, 38.189677
52.000000, 38.327780
52.000000, 38.464502
52.000000, 38.599857
52.000000, 38.733859
52.000000, 38.866520
52.000000, 38.997855
52.000000, 39.127876
52.000000, 39.256597
52.000000, 39.384031
52.000000, 39.510191
52.000000, 39.635089
52.000000, 39.758738
52.000000, 39.881151
48.000000, 39.962339
50.000000, 40.062716
49.000000, 40.152089
49.000000, 40.240568
47.000000, 40.308162
50.000000, 40.405081
49.000000, 40.491030
49.000000, 40.576120
49.000000, 40.660358
48.000000, 40.733755
49.000000, 40.816417
49.000000, 40.898253
50.000000, 40.989271
49.000000, 41.069378
51.000000, 41.168684
50.000000, 41.256997
50.000000, 41.344427
51.000000, 41.440983
50.000000, 41.526573
50.000000, 41.611307
51.000000, 41.705194
51.000000, 41.798142
