total reward, running mean
0.000000, 0.000000
1.000000, 0.010000
0.000000, 0.009900
0.000000, 0.009801
0.000000, 0.009703
0.000000, 0.009606
1.000000, 0.019510
1.000000, 0.029315
1.000000, 0.039022
2.000000, 0.058631
1.000000, 0.068045
1.000000, 0.077365
1.000000, 0.086591
0.000000, 0.085725
1.000000, 0.094868
1.000000, 0.103919
1.000000, 0.112880
0.000000, 0.111751
0.000000, 0.110634
0.000000, 0.109527
1.000000, 0.118432
0.000000, 0.117248
1.000000, 0.126075
1.000000, 0.134815
0.000000, 0.133466
0.000000, 0.132132
1.000000, 0.140810
0.000000, 0.139402
0.000000, 0.138008
1.000000, 0.146628
3.000000, 0.175162
1.000000, 0.183410
1.000000, 0.191576
1.000000, 0.199660
0.000000, 0.197664
0.000000, 0.195687
0.000000, 0.193730
1.000000, 0.201793
0.000000, 0.199775
1.000000, 0.207777
1.000000, 0.215700
1.000000, 0.223543
0.000000, 0.221307
0.000000, 0.219094
0.000000, 0.216903
1.000000, 0.224734
1.000000, 0.232487
1.000000, 0.240162
0.000000, 0.237760
1.000000, 0.245383
0.000000, 0.242929
1.000000, 0.250500
1.000000, 0.257995
0.000000, 0.255415
1.000000, 0.262860
0.000000, 0.260232
0.000000, 0.257630
1.000000, 0.265053
0.000000, 0.262403
0.000000, 0.259779
0.000000, 0.257181
0.000000, 0.254609
1.000000, 0.262063
1.000000, 0.269442
0.000000, 0.266748
0.000000, 0.264080
0.000000, 0.261440
2.000000, 0.278825
0.000000, 0.276037
1.000000, 0.283277
1.000000, 0.290444
1.000000, 0.297539
1.000000, 0.304564
1.000000, 0.311518
1.000000, 0.318403
0.000000, 0.315219
1.000000, 0.322067
1.000000, 0.328846
1.000000, 0.335558
0.000000, 0.332202
1.000000, 0.338880
0.000000, 0.335491
1.000000, 0.342137
0.000000, 0.338715
2.000000, 0.355328
1.000000, 0.361775
2.000000, 0.378157
0.000000, 0.374375
0.000000, 0.370632
1.000000, 0.376925
0.000000, 0.373156
0.000000, 0.369425
1.000000, 0.375730
0.000000, 0.371973
1.000000, 0.378253
0.000000, 0.374471
2.000000, 0.390726
1.000000, 0.396819
1.000000, 0.402851
0.000000, 0.398822
0.000000, 0.394834
1.000000, 0.400886
1.000000, 0.406877
