total reward, running mean
0.000000, 0.000000
1.000000, 0.010000
2.000000, 0.029900
0.000000, 0.029601
1.000000, 0.039305
1.000000, 0.048912
0.000000, 0.048423
2.000000, 0.067939
3.000000, 0.097259
1.000000, 0.106287
1.000000, 0.115224
2.000000, 0.134072
3.000000, 0.162731
1.000000, 0.171103
1.000000, 0.179392
3.000000, 0.207599
0.000000, 0.205523
1.000000, 0.213467
0.000000, 0.211333
1.000000, 0.219219
2.000000, 0.237027
3.000000, 0.264657
2.000000, 0.282010
3.000000, 0.309190
2.000000, 0.326098
3.000000, 0.352837
3.000000, 0.379309
2.000000, 0.395516
0.000000, 0.391561
3.000000, 0.417645
2.000000, 0.433469
3.000000, 0.459134
3.000000, 0.484543
2.000000, 0.499697
4.000000, 0.534700
6.000000, 0.589353
6.000000, 0.643460
2.000000, 0.657025
2.000000, 0.670455
2.000000, 0.683750
4.000000, 0.716913
5.000000, 0.759744
6.000000, 0.812146
3.000000, 0.834025
3.000000, 0.855684
3.000000, 0.877128
3.000000, 0.898356
5.000000, 0.939373
3.000000, 0.959979
6.000000, 1.010379
4.000000, 1.040275
2.000000, 1.049873
8.000000, 1.119374
4.000000, 1.148180
5.000000, 1.186698
2.000000, 1.194831
9.000000, 1.272883
9.000000, 1.350154
10.000000, 1.436653
5.000000, 1.472286
2.000000, 1.477563
3.000000, 1.492788
3.000000, 1.507860
2.000000, 1.512781
6.000000, 1.557653
2.000000, 1.562077
2.000000, 1.566456
10.000000, 1.650792
5.000000, 1.684284
2.000000, 1.687441
7.000000, 1.740566
10.000000, 1.823161
6.000000, 1.864929
4.000000, 1.886280
10.000000, 1.967417
6.000000, 2.007743
10.000000, 2.087665
8.000000, 2.146789
6.000000, 2.185321
7.000000, 2.233468
6.000000, 2.271133
1.000000, 2.258422
8.000000, 2.315838
10.000000, 2.392679
14.000000, 2.508752
2.000000, 2.503665
7.000000, 2.548628
8.000000, 2.603142
2.000000, 2.597110
2.000000, 2.591139
10.000000, 2.665228
0.000000, 2.638576
6.000000, 2.672190
14.000000, 2.785468
14.000000, 2.897613
10.000000, 2.968637
14.000000, 3.078951
10.000000, 3.148161
14.000000, 3.256680
14.000000, 3.364113
16.000000, 3.490472
12.000000, 3.575567
14.000000, 3.679811
